Unique ID,Indicator ID,Name,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Pollution_Level
336867,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Winter 2014-15,2014-12-01,23,Good
336741,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Winter 2014-15,2014-12-01,27,Good
550157,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,12,Good
412802,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Winter 2015-16,2015-12-01,22,Good
412803,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Summer 2016,2016-06-01,14,Good
412676,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Winter 2015-16,2015-12-01,26,Good
412677,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Summer 2016,2016-06-01,19,Good
603044,375,Nitrogen dioxide (NO2),ppb,CD,314,Flatbush and Midwood (CD14),Annual Average 2018,2018-01-01,17,Good
412804,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,18,Good
825832,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Winter 2021-22,2021-12-01,22,Good
741291,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,11,Good
166679,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,8,Good
165912,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,20,Good
167800,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,12,Good
336888,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2014-15,2014-12-01,20,Good
741290,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,4,Good
