Unique ID,Indicator ID,Name,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Pollution_Level
550157,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,12,None,Good
412802,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Winter 2015-16,2015-12-01,22,None,Good
412803,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Summer 2016,2016-06-01,14,None,Good
412676,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Winter 2015-16,2015-12-01,26,None,Good
412677,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Summer 2016,2016-06-01,19,None,Good
603044,375,Nitrogen dioxide (NO2),ppb,CD,314,Flatbush and Midwood (CD14),Annual Average 2018,2018-01-01,17,None,Good
412804,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2016,2015-12-31,18,None,Good
825832,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Winter 2021-22,2021-12-01,22,None,Good
741291,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,11,None,Good
741290,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,4,None,Good
603098,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,10,None,Good
826075,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,15,None,Good
410984,365,Fine particles (PM 2.5),mcg/m3,CD,107,Upper West Side (CD7),Winter 2015-16,2015-12-01,8,None,Good
742558,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2020-21,2020-12-01,6,None,Good
643639,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Annual Average 2019,2019-01-01,18,None,Good
603046,375,Nitrogen dioxide (NO2),ppb,CD,314,Flatbush and Midwood (CD14),Winter 2017-18,2017-12-01,23,None,Good
643693,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2019,2019-01-01,16,None,Good
825830,375,Nitrogen dioxide (NO2),ppb,CD,107,Upper West Side (CD7),Annual Average 2022,2022-01-01,18,None,Good
603100,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,14,None,Good
643714,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,9,None,Good
826077,375,Nitrogen dioxide (NO2),ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,11,None,Good
411022,365,Fine particles (PM 2.5),mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2016,2015-12-31,7,None,Good
742560,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,5,None,Good
547765,365,Fine particles (PM 2.5),mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,6,None,Good
643640,375,Nitrogen dioxide (NO2),ppb,CD,307,Sunset Park (CD7),Summer 2019,2019-06-01,16,None,Good
336866,375,Nitrogen dioxide (NO2),ppb,CD,407,Flushing and Whitestone (CD7),Summer 2015,2015-06-01,14,None,Good
